Word,Mutual Information,Chi-Squared
israel,0.036306034389695194,1175.5799335046
king,0.0313302232098753,1042.8500153024547
lord,0.03052370920651764,1206.0636338751497
believ,0.021272020162395093,783.206265336438
god,0.01623774617001622,696.5704770160723
son,0.01618393974149919,612.795897703848
judah,0.014377024014468096,427.0038380187561
land,0.013365345762430087,483.30596293243093
torment,0.013102893380498524,465.8993361335546
faith,0.012020760581854369,485.10110691138823
hous,0.011960433141078346,437.8679440401745
receiv,0.010504486984305934,431.56552308666653
david,0.01020621519508834,349.7889027688462
discipl,0.009691265769285064,339.59336220960813
revel,0.009386059327645115,329.03008486795017
egypt,0.00831541224005352,263.51200895884733
suffer,0.00824117536620728,311.15625648261687
offer,0.006930165733447997,244.66187044065046
children,0.006906571208896418,259.52972310439776
preach,0.006645454297764733,244.79425071225606
unjust,0.006616485161295923,239.4048388887578
citi,0.0066044266986182406,246.7947546260409
hand,0.006597664205972728,255.28002750148812
hundr,0.006556511949613554,220.62282481140795
guidanc,0.006498430560809697,237.57697124988127
want,0.006370816074193736,233.0747447577533
truth,0.00631246145419981,265.67914927624014
of,0.006145893943591518,222.89147190594818
thing,0.00611520195879332,263.824383811118
deed,0.006034476111053505,250.03999732952408
messeng,0.005910040258474667,248.98966886597066
host,0.005544329753365812,166.73320365428123
reveal,0.005531718966306107,223.93603723786916
hell,0.00551932685438516,215.6399856723057
true,0.005391187795529372,215.86187598564456
evid,0.0053108129782099495,195.6021320517718
year,0.005282809868857505,193.29187998103643
sure,0.0050993253323078904,167.4147854674845
reward,0.005020811369513508,204.72667905369659
creat,0.004952517859729318,202.33153414508342
daughter,0.0049392258161507305,172.0396885819631
altar,0.004659390773040065,154.48263157770023
burnt,0.004548008434989636,138.1111230860984
angel,0.004525364501410587,192.0839340109344
hour,0.0043559237609671585,154.70387360218504
iniqu,0.004304638649688864,135.7991594601224
camp,0.00429519026855874,127.53126681756827
world,0.004277667088239373,176.84797763687823
sword,0.004266270967031463,146.17687958172434
saul,0.004216126615488755,142.61873456176394
levit,0.004216110375549462,127.02684022650179
repli,0.0041763267729060674,151.32527540578624
joshua,0.004164324809802541,119.12123883301042
me,0.004135685696372574,164.93264188351785
reject,0.004013094989524012,163.7884341058484
follow,0.004006511482308498,167.34050851215176
babylon,0.0038848673221027795,125.03212851224737
aaron,0.0038821428391071526,132.07694605148853
grant,0.003856383597218407,156.83922046219607
forgiv,0.00378679106618889,154.4179857464652
gold,0.003780035624023191,131.8045767073281
ask,0.003682474745739574,155.09432153053527
repent,0.0036779133924295837,142.9073309168711
set,0.0036191184128261185,135.09275377216164
guid,0.003554075032879732,143.52563467949977
princ,0.0035529710182024272,110.53960039564085
immedi,0.003523805734498005,135.50663564562453
men,0.0034651831302685574,137.295396344113
worship,0.0034357339831667137,147.00518610328066
wick,0.0034356327651228697,118.87899719589943
tabernacl,0.003416495881793492,114.3959057162928
jerusalem,0.003382201044888464,128.79578954582698
exist,0.0033683287615723866,122.92999451817688
thousand,0.0033236873141274724,119.89775577215225
field,0.0032955973995752613,113.73611047531455
miracl,0.003283554863034784,119.94392853961902
reign,0.003270687426805097,110.30192665612341
satan,0.0032277674744191054,129.0403681757407
deni,0.003227385567852723,123.70057845819387
promis,0.003182692169674796,132.65058494740316
human,0.003146881911169394,123.8781331315498
equal,0.0031205998051456693,120.71840294581597
silver,0.0031202991761827776,106.75541793710565
patienc,0.003071891605106132,112.48140869976623
ephraim,0.0030708744283791975,88.55020481272975
inhabit,0.00305486170194193,102.6422786385999
life,0.0030459091632814373,131.48018153336042
guardian,0.0030296080859388546,110.98937362874051
place,0.0029720008112592124,116.7024968893956
warn,0.002924777508574296,117.48330783586808
grace,0.002891464164793109,117.871641855439
anger,0.0028839811430259694,96.84165069456982
jacob,0.002870224866444821,103.5931214318723
priest,0.0028564148909027915,110.04926473272195
jew,0.0028044301058269584,119.28077261297591
author,0.0027827881079526455,113.6337936909596
gate,0.00277058187363402,98.83245532620475
ignor,0.002769345920937036,105.98680236320463
young,0.002763185698507655,99.317700064456
cut,0.0027448351569552393,98.70002000403807
bronz,0.002732072765391011,79.05891851361497
ram,0.002727578031956607,82.75194436769598
wall,0.002715643468079147,91.57524669688505
sanctuari,0.0026656709694000973,82.3046318925653
majest,0.0026475506293876243,101.54616686940577
chariot,0.0026424686249147565,81.6296209052101
man,0.002637581564505052,106.55002978743568
river,0.0026275006038787552,87.39434146795827
captiv,0.002606140138672065,87.23383397563516
put,0.0025957216704047426,101.47626934525238
bull,0.0025650934693109734,76.47968687009187
manasseh,0.0025650934693109734,76.47968687009187
nation,0.0025283661999995666,96.51887664286028
tent,0.002521965661244071,79.21064045434424
book,0.0024841714449135594,106.95117700802713
susten,0.0024816413007367694,91.60859944562
benjamin,0.0024783238840349383,78.85971616548755
solomon,0.002474210987562246,87.54163508180775
mankind,0.00247248120655617,92.87263102704789
spirit,0.0024510896957786682,105.81412057879663
wilder,0.002447486460091478,87.08050898148441
north,0.002442336666087377,70.93123466683674
benefit,0.0024342571750467484,92.7357391618634
strive,0.0024117111796791444,96.19347255908286
dwelt,0.002403500289616495,81.74861021610747
reason,0.0023968657057091285,98.71648187392124
burn,0.00237364575908639,87.49900570250657
assuredli,0.0023647413810972593,91.20107313247529
war,0.0023552476198406176,82.93389413976777
jeremiah,0.0023524490530612745,71.94043514738617
deliv,0.0023500545458436856,89.39786470615316
meet,0.002345290348738225,83.06207167457076
desol,0.0023129177579050094,76.04153868809942
congreg,0.0023039632231207858,69.03966746425624
head,0.002281999731562654,86.77699461788823
border,0.0022736511999769905,66.1934638682876
group,0.0022712243610251686,86.8122409624359
flock,0.002248837863399706,76.06027711177006
grain,0.002246158848655805,78.34692003594078
lift,0.0022385849039187125,78.36797458445095
doubt,0.002230005002124757,82.67480031511549
,0.0022245764209662122,83.96104184137403
zion,0.0022184542574755933,71.86522477799318
cubit,0.00220337266521359,69.80022333091975
midst,0.0021844782348044755,79.26304324141806
scriptur,0.002170026689607095,78.5092849377302
hezekiah,0.0021619656242941694,64.98492109357932
captain,0.0021444141994974046,70.28431032985763
built,0.002116829241899755,72.64344039276074
spoke,0.0021092641419640738,81.42808503835826
howev,0.002105118865692882,87.47413375191005
bring,0.002103420849263438,83.14351171807087
samuel,0.002096156652143365,64.52027475723838
fact,0.0020854588581187493,85.58531302682638
one,0.002072247911246654,89.35971153468162
heaven,0.002059288553767677,88.84263296205047
will,0.002028372161597519,84.6679549301681
jordan,0.00202125497299139,68.8793448538703
disput,0.0020189898643196477,76.54453013626417
strength,0.001991142867375453,71.0967147221397
other,0.00198464125217455,84.2424186511694
plunder,0.001973184926922691,59.58269994014747
mean,0.0019582735621675625,81.4497817578295
teacher,0.001947273441946587,74.98901964615476
mighti,0.0019429583197895204,71.24970370461863
pass,0.0019371941983219701,75.43960393716829
hardship,0.001915056040178436,69.56682522368672
we,0.0019066921780160617,82.03058101743642
to,0.0019021898799492392,78.90426624630278
prayer,0.0019012473351446317,81.5458769045314
servant,0.0018843546194473619,75.08201397587679
pagan,0.0018841825731488807,76.3879202133094
abomin,0.0018840345345538991,63.31685250010393
ark,0.0018729298641567207,66.36153312145456
parabl,0.0018552818629685012,70.6189661514413
wood,0.0018532846825389424,60.130298071673074
judgment,0.0018397299155147283,79.46003493676298
baal,0.0018320634634145783,55.534374473459394
pillar,0.0018312530102766187,59.464246576540084
condemn,0.0018238929346638746,76.05719921549134
twenti,0.0018209284467156752,58.41291759665797
dwell,0.0017922110757960805,70.04564703152222
behold,0.0017682640878059304,69.03087464286858
galile,0.0017668110805337577,69.13485376364272
protect,0.0017668110805337577,69.13485376364272
incens,0.0017588400525683492,57.89844043727694
goat,0.0017560296492587762,58.86184307679472
armi,0.0017429412315401213,64.42500558159549
tribe,0.0017275819484389007,64.51125615815425
demon,0.0017065233359935175,66.1476666194679
judea,0.0017031742036235826,62.11929717638414
number,0.0017016996342423577,62.78664719937123
gather,0.0016731170440964648,64.59347046642824
sweet,0.001657438250767151,51.73400376924217
lip,0.001655877225813358,54.144800998386295
hill,0.001655877225813358,54.144800998386295
accus,0.0016488992550949496,64.74420544573319
coven,0.0016347232972202335,61.44067931065037
water,0.0016334273130422625,64.51701432161792
wit,0.001626026154003602,69.86042781400393
glorifi,0.0016254957183158066,68.05567833916658
power,0.0016159458178695413,69.75313099669489
valley,0.0016118445297359247,56.62460561457979
exercis,0.0016112193197310657,61.746239725511906
oil,0.0016109814356073,57.650223423264876
bow,0.0015900543106666953,57.59901622622218
steadfast,0.001588279577100955,63.943917592156396
chaldean,0.001578163251170843,46.59407390345292
famili,0.0015717711007518888,58.6087937507563
south,0.0015688213435245046,51.49166827731621
recit,0.0015645221564880862,58.89886525479952
sky,0.0015508785894851017,62.8552746178001
side,0.0015480551022296523,58.96399686942897
month,0.0015475753635403548,57.31719930362844
sing,0.0015439520570766031,51.78680513059851
astray,0.0015424939557237302,64.79054237166449
liar,0.0015316804713549064,60.36358032931103
court,0.0015312044632247689,52.22027705049214
gad,0.0015304524176157437,45.244246009606414
curs,0.0015300039699277473,54.16421818984487
oh,0.0015279332564339,46.77428969198841
tax,0.0015141646081934849,61.43497398665563
know,0.0015086962012735086,64.853890157938
dweller,0.0014919544912352836,54.676538705422324
mouth,0.0014876575231595073,57.40342102315235
mose,0.0014764756443028763,59.30991219515349
canaan,0.0014746224411937986,46.36486960196493
mountain,0.001473567815033956,57.18864282858711
